row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
97,12/7/2013 13:06,12/7/2013,2013-12-07 13,2.23
98,12/7/2013 14:07,12/7/2013,2013-12-07 14,2.68
99,12/7/2013 15:08,12/7/2013,2013-12-07 15,2.52
100,12/7/2013 16:08,12/7/2013,2013-12-07 16,2.27
101,12/7/2013 17:09,12/7/2013,2013-12-07 17,1.69
102,12/7/2013 18:00,12/7/2013,2013-12-07 18,1.17
103,12/7/2013 19:00,12/7/2013,2013-12-07 19,0.51
104,12/7/2013 20:01,12/7/2013,2013-12-07 20,0.41
105,12/7/2013 21:02,12/7/2013,2013-12-07 21,0.41
106,12/7/2013 22:03,12/7/2013,2013-12-07 22,0.41
107,12/7/2013 23:06,12/7/2013,2013-12-07 23,0.32
108,12/8/2013 0:07,12/8/2013,2013-12-08 00,0.46
109,12/8/2013 1:07,12/8/2013,2013-12-08 01,0.32
110,12/8/2013 2:07,12/8/2013,2013-12-08 02,0.37
111,12/8/2013 3:09,12/8/2013,2013-12-08 03,0.37
112,12/8/2013 4:00,12/8/2013,2013-12-08 04,0.09
113,12/8/2013 5:00,12/8/2013,2013-12-08 05,0.37
114,12/8/2013 6:01,12/8/2013,2013-12-08 06,0.23
115,12/8/2013 7:01,12/8/2013,2013-12-08 07,0.28
116,12/8/2013 8:03,12/8/2013,2013-12-08 08,0.28
117,12/8/2013 9:03,12/8/2013,2013-12-08 09,0.78
118,12/8/2013 10:04,12/8/2013,2013-12-08 10,0.86
119,12/8/2013 11:04,12/8/2013,2013-12-08 11,1
120,12/8/2013 12:06,12/8/2013,2013-12-08 12,1.48
121,12/8/2013 13:06,12/8/2013,2013-12-08 13,2.48
122,12/8/2013 14:07,12/8/2013,2013-12-08 14,2.84
123,12/8/2013 15:07,12/8/2013,2013-12-08 15,2.56
124,12/8/2013 16:09,12/8/2013,2013-12-08 16,2.07
125,12/8/2013 17:11,12/8/2013,2013-12-08 17,1.73
126,12/8/2013 18:02,12/8/2013,2013-12-08 18,1.39
127,12/8/2013 19:02,12/8/2013,2013-12-08 19,0.73
128,12/8/2013 20:03,12/8/2013,2013-12-08 20,0.69
129,12/8/2013 21:03,12/8/2013,2013-12-08 21,0.69
130,12/8/2013 22:05,12/8/2013,2013-12-08 22,0.6
131,12/8/2013 23:05,12/8/2013,2013-12-08 23,0.64
132,12/9/2013 0:06,12/9/2013,2013-12-09 00,0.46
133,12/9/2013 1:06,12/9/2013,2013-12-09 01,0.28
134,12/9/2013 2:08,12/9/2013,2013-12-09 02,0.05
135,12/9/2013 3:08,12/9/2013,2013-12-09 03,0.19
136,12/9/2013 4:08,12/9/2013,2013-12-09 04,0.14
137,12/9/2013 5:08,12/9/2013,2013-12-09 05,0.41
138,12/9/2013 6:08,12/9/2013,2013-12-09 06,0.28
139,12/9/2013 7:09,12/9/2013,2013-12-09 07,0.6
140,12/9/2013 8:00,12/9/2013,2013-12-09 08,0.82
141,12/9/2013 9:02,12/9/2013,2013-12-09 09,0.95
142,12/9/2013 10:04,12/9/2013,2013-12-09 10,0.91
143,12/9/2013 11:04,12/9/2013,2013-12-09 11,1
144,12/9/2013 12:06,12/9/2013,2013-12-09 12,1.04
145,12/9/2013 13:06,12/9/2013,2013-12-09 13,0.46
146,12/9/2013 14:07,12/9/2013,2013-12-09 14,0.41
147,12/9/2013 15:08,12/9/2013,2013-12-09 15,1.98
148,12/9/2013 16:09,12/9/2013,2013-12-09 16,2.19
149,12/9/2013 17:09,12/9/2013,2013-12-09 17,1.22
150,12/9/2013 18:00,12/9/2013,2013-12-09 18,0.55
151,12/9/2013 19:01,12/9/2013,2013-12-09 19,0.14
152,12/9/2013 20:02,12/9/2013,2013-12-09 20,0.23
